Compilation;Date;Value;plotParameter
"CAPP 2012 - SCO + Bitumen";1989-11-04;337279.60040268;2
"CAPP 2012 - SCO + Bitumen";1989-11-26;337873.7154614;2
"CAPP 2012 - SCO + Bitumen";1989-12-18;338467.83052014;2
"CAPP 2012 - SCO + Bitumen";1990-01-09;339061.94557887;2
"CAPP 2012 - SCO + Bitumen";1990-01-31;339656.06063759;2
"CAPP 2012 - SCO + Bitumen";1990-02-22;340250.17569633;2
"CAPP 2012 - SCO + Bitumen";1990-03-16;340844.29075506;2
"CAPP 2012 - SCO + Bitumen";1990-04-07;341438.40581378;2
"CAPP 2012 - SCO + Bitumen";1990-04-29;342032.52087252;2
"CAPP 2012 - SCO + Bitumen";1990-05-21;342626.63593125;2
"CAPP 2012 - SCO + Bitumen";1990-06-12;343220.75098997;2
"CAPP 2012 - SCO + Bitumen";1990-07-04;343774.49983962;2
"CAPP 2012 - SCO + Bitumen";1990-07-26;344072.59603167;2
